MÊS ;DATA;TRANSPORTADORA;LIBERADOS;MALHA ;OPERAÇÃO;TOTAL TRANSPORTADORAS;% MALHA
Julho;2025-07-24;DMD;29;3;LML;32;0.094
Julho;2025-07-24;Zumpy;47;3;LML;50;0.06
Julho;2025-07-24;Zoom;10;1;LML;11;0.091
Julho;2025-07-24;Assis Rio;42;2;Direta;44;0.045
Julho;2025-07-24;PJ;13;2;Direta;15;0.133
Julho;2025-07-24;TRILOG;7;2;Direta;9;0.222
Julho;2025-07-24;REU;25;3;Direta;28;0.107
Julho;2025-07-24;Riviera;5;1;Direta;6;0.167
Julho;2025-07-25;FE;38;2;LML;40;0.05
Julho;2025-07-25;DMD;24;1;LML;25;0.04
Julho;2025-07-25;Zumpy;46;5;LML;51;0.098
Julho;2025-07-25;Zoom;10;1;LML;11;0.091
Julho;2025-07-25;Assis Rio;42;4;Direta;46;0.087
Julho;2025-07-25;PJ;13;1;Direta;14;0.071
Julho;2025-07-25;TRILOG;5;0;Direta;5;0.0
Julho;2025-07-25;REU;29;2;Direta;31;0.065
Julho;2025-07-25;Riviera;6;1;Direta;7;0.143
Julho;2025-07-26;FE;23;4;LML;27;0.148
Julho;2025-07-26;DMD;16;0;LML;16;0.0
Julho;2025-07-26;Zumpy;19;2;LML;21;0.095
Julho;2025-07-26;Zoom;6;2;LML;8;0.25
Julho;2025-07-26;Assis Rio;34;3;Direta;37;0.081
Julho;2025-07-26;PJ;16;2;Direta;18;0.111
Julho;2025-07-26;TRILOG;4;0;Direta;4;0.0
Julho;2025-07-26;REU;25;1;Direta;26;0.038
Julho;2025-07-26;Riviera;2;2;Direta;4;0.5
Julho;2025-07-27;FE;0;0;LML;0;0.0
Julho;2025-07-27;DMD;0;0;LML;0;0.0
Julho;2025-07-27;Zumpy;0;0;LML;0;0.0
Julho;2025-07-27;Zoom;0;0;LML;0;0.0
Julho;2025-07-27;Assis Rio;0;0;Direta;0;0.0
Julho;2025-07-27;PJ;0;0;Direta;0;0.0
Julho;2025-07-27;TRILOG;0;0;Direta;0;0.0
Julho;2025-07-27;REU;0;0;Direta;0;0.0
Julho;2025-07-27;Riviera;0;0;Direta;0;0.0
Julho;2025-07-28;FE;38;5;LML;43;0.116
Julho;2025-07-28;DMD;23;2;LML;25;0.08
Julho;2025-07-28;Zumpy;43;2;LML;45;0.044
Julho;2025-07-28;Zoom;9;1;LML;10;0.1
Julho;2025-07-28;Assis Rio;45;4;Direta;49;0.082
Julho;2025-07-28;PJ;15;2;Direta;17;0.118
Julho;2025-07-28;TRILOG;7;1;Direta;8;0.125
Julho;2025-07-28;REU;31;2;Direta;33;0.061
Julho;2025-07-28;Riviera;7;1;Direta;8;0.125
Julho;2025-07-29;FE;35;2;LML;37;0.054
Julho;2025-07-29;DMD;25;4;LML;29;0.138
Julho;2025-07-29;Zumpy;46;2;LML;48;0.042
Julho;2025-07-29;Zoom;9;1;LML;10;0.1
Julho;2025-07-29;Assis Rio;42;2;Direta;44;0.045
Julho;2025-07-29;PJ;16;2;Direta;18;0.111
Julho;2025-07-29;TRILOG;7;3;Direta;10;0.3
Julho;2025-07-29;REU;26;3;Direta;29;0.103
Julho;2025-07-29;Riviera;6;0;Direta;6;0.0
Julho;2025-07-30;FE;38;2;LML;40;0.05
Julho;2025-07-30;DMD;26;2;LML;28;0.071
Julho;2025-07-30;Zumpy;50;4;LML;54;0.074
Julho;2025-07-30;Zoom;11;1;LML;12;0.083
Julho;2025-07-30;Assis Rio;46;5;Direta;51;0.098
Julho;2025-07-30;PJ;14;2;Direta;16;0.125
Julho;2025-07-30;TRILOG;7;0;Direta;7;0.0
Julho;2025-07-30;REU;22;3;Direta;25;0.12
Julho;2025-07-30;Riviera;5;0;Direta;5;0.0
Julho;2025-07-31;FE;38;2;LML;40;0.05
Julho;2025-07-31;DMD;24;3;LML;27;0.111
Julho;2025-07-31;Zumpy;50;2;LML;52;0.038
Julho;2025-07-31;Zoom;11;2;LML;13;0.154
Julho;2025-07-31;Assis Rio;42;1;Direta;43;0.023
Julho;2025-07-31;PJ;15;4;Direta;19;0.211
Julho;2025-07-31;TRILOG;7;0;Direta;7;0.0
Julho;2025-07-31;REU;22;4;Direta;26;0.154
Julho;2025-07-31;Riviera;6;1;Direta;7;0.143
Agosto;2025-08-01;FE;37;4;LML;41;0.098
Agosto;2025-08-01;DMD;27;2;LML;29;0.069
